presented_name,Syndrome_Snippet
CDC Stimulants V2,cdc%20stimulants%20v2
CDC Stimulants V3,cdc%20stimulants%20v3
CDC Suicidal Ideation V1,cdc%20suicidal%20ideation%20v1
CDC Suicide Attempt V1,cdc%20suicide%20attempt%20v1
CDC Suicide Attempt V2,cdc%20suicide%20attempt%20v2
CDC Suspected Child Abuse and Neglect V1,cdc%20suspected%20child%20abuse%20and%20neglect%20v1
CDC Suspected Sex Trafficking V1,cdc%20suspected%20sex%20trafficking%20v1
CDC Synthetic Cannabinoids V1,cdc%20synthetic%20cannabinoids%20v1
CDC Tic Disorders V1,cdc%20tic%20disorders%20v1
CDC Tick Exposure V1,cdc%20tick%20exposure%20v1
CDC Trauma and Stressor-related Disorders V1,cdc%20trauma%20and%20stressor-related%20disorders%20v1
CDC Unintentional Carbon Monoxide Exposure V1,cdc%20unintentional%20carbon%20monoxide%20exposure%20v1
CDC Unintentional Drowning V1,cdc%20unintentional%20drowning%20v1
CDC Unintentional Firearm Injury V1,cdc%20unintentional%20firearm%20injury%20v1
CDC Vaccine-associated Adverse Events V1,cdc%20vaccine-associated%20adverse%20events%20v1
CDC Vaping and E Cig Injuries V1,cdc%20vaping%20and%20e%20cig%20injuries%20v1
CDC Youth Violence V1,cdc%20youth%20violence%20v1
Change in Taste or Smell V1,change%20in%20taste%20or%20smell%20v1
Cholera V1,cholera%20v1
Cli Cc with Cli Dd and Coronavirus Dd V1,cli%20cc%20with%20cli%20dd%20and%20coronavirus%20dd%20v1
Cli Cc with Cli Dd and Coronavirus Dd V2,cli%20cc%20with%20cli%20dd%20and%20coronavirus%20dd%20v2
Coccidioidomycosis V1,coccidioidomycosis%20v1
Cognition and Central Nervous System Disability V1,cognition%20and%20central%20nervous%20system%20disability%20v1
Cold Related Illness V1,cold%20related%20illness%20v1
Cryptosporidiosis V1,cryptosporidiosis%20v1
Dengue V1,dengue%20v1
Ebola V1,ebola%20v1
Ehrlichiosis V1,ehrlichiosis%20v1
Fever and Cough-sob-diffbr Neg Influenza Dd V1,fever%20and%20cough-sob-diffbr%20neg%20influenza%20dd%20v1
Fever and Cough-sob-diffbr Neg Influenza Dd V2,fever%20and%20cough-sob-diffbr%20neg%20influenza%20dd%20v2
Fever and Cough-sob-diffbr V1,fever%20and%20cough-sob-diffbr%20v1
Fever and Cough-sob-diffbr V2,fever%20and%20cough-sob-diffbr%20v2
Fire and Smoke Inhalation V1,fire%20and%20smoke%20inhalation%20v1
Foreign Travel,foreign%20travel
Foreign Travel V2,foreign%20travel%20v2
Giardiasis V1,giardiasis%20v1
Hantavirus Infection V1,hantavirus%20infection%20v1
Hearing Disability V1,hearing%20disability%20v1
Heat Related Illness V1,heat%20related%20illness%20v1
Heat Related Illness V2,heat%20related%20illness%20v2
Hemolytic Uremic Syndrome (hus) V1,hemolytic%20uremic%20syndrome%20(hus)%20v1
Homelessness V1,homelessness%20v1
ILI CCDD Neg Coronavirus Dd V1,ili%20ccdd%20neg%20coronavirus%20dd%20v1
ILI CCDD V1,ili%20ccdd%20v1
ILI Neg Influenza Mention V1,ili%20neg%20influenza%20mention%20v1
ILI Syndrome Neg Coronavirus Dd V1,ili%20syndrome%20neg%20coronavirus%20dd%20v1
Intellectual and Developmental Disability V1,intellectual%20and%20developmental%20disability%20v1
Intimate Partner Violence V1,intimate%20partner%20violence%20v1
Leptospirosis V1,leptospirosis%20v1
Long Covid Broad V1,long%20covid%20broad%20v1
Long Covid Narrow V1,long%20covid%20narrow%20v1
Malaria V1,malaria%20v1
Marburg V1,marburg%20v1
Marijuana V1,marijuana%20v1
Marijuana V2,marijuana%20v2
Marijuana V3,marijuana%20v3
Meningococcal Disease V1,meningococcal%20disease%20v1
Mobility Disability V1,mobility%20disability%20v1
Mumps V1,mumps%20v1
Norovirus V1,norovirus%20v1
Overall Disability V1,overall%20disability%20v1
Pertussis V2 CCDD Parsed,pertussis%20v2%20ccdd%20parsed
Pertussis V2 Dd,pertussis%20v2%20dd
Plague V1,plague%20v1
Poliomyelitis V1,poliomyelitis%20v1
Psittacosis V1,psittacosis%20v1
Q Fever V1,q%20fever%20v1
Rabies Pep Administered V1,rabies%20pep%20administered%20v1
Recreational Boating Incidents V1,recreational%20boating%20incidents%20v1
Sdc Disaster Related Mental Health V1,sdc%20disaster%20related%20mental%20health%20v1
Sdc Suicide Related V1,sdc%20suicide%20related%20v1
Self-care and Independent Living Disability V1,self-care%20and%20independent%20living%20disability%20v1
Severe Asthma V1,severe%20asthma%20v1
Sexual Violence V1,sexual%20violence%20v1
Sexual Violence V2,sexual%20violence%20v2
Specific Dev Behavioral Learning Disability V1,specific%20dev%20behavioral%20learning%20disability%20v1
Spotted Fever Rickettsiosis V1,spotted%20fever%20rickettsiosis%20v1
Trichinellosis V1,trichinellosis%20v1
Tularemia V1,tularemia%20v1
Vision Disability V1,vision%20disability%20v1
Zika V1,zika%20v1
